ligand	receptor	ligand_uniprot	receptor_uniprot database
GHRH	ADRB2	P01286	P07550	Liana_v0.1.12
GHRH	ADRB3	P01286	P13945	Liana_v0.1.12
GHRH	TSHR	P01286	P16473	Liana_v0.1.12
GHRH	VIPR1	P01286	P32241	Liana_v0.1.12
GHRH	ADCYAP1R1	P01286	P41586	Liana_v0.1.12
GHRH	VIPR2	P01286	P41587	Liana_v0.1.12
GHRH	GHRHR	P01286	Q02643	Liana_v0.1.12;Cpdb_v4.1
GHRH	PTH1R	P01286	Q03431	Liana_v0.1.12
GHRH	GHSR	P01286	Q92847	Liana_v0.1.12
GHRH	GPR20	P01286	Q99678	Liana_v0.1.12
GHRH	GPR84	P01286	Q9NQS5	Liana_v0.1.12
PPY	ADRA2A	P01298	P08913	Liana_v0.1.12
PPY	NPY1R	P01298	P25929	Liana_v0.1.12;Cpdb_v4.1
PPY	MTNR1A	P01298	P48039	Liana_v0.1.12
PPY	NPY2R	P01298	P49146	Liana_v0.1.12;Cpdb_v4.1
PPY	NPY4R	P01298	P50391	Liana_v0.1.12;Cpdb_v4.1
PPY	GRM7	P01298	Q14831	Liana_v0.1.12
PPY	NPY5R	P01298	Q15761	Liana_v0.1.12;Cpdb_v4.1
PPY	NPY6R	P01298	Q99463	Liana_v0.1.12
PPY	GPR83	P01298	Q9NYM4	Liana_v0.1.12
NPY	ADRA2A	P01303	P08913	Liana_v0.1.12
NPY	NPY1R	P01303	P25929	Liana_v0.1.12;Cpdb_v4.1
NPY	MC4R	P01303	P32245	Liana_v0.1.12
NPY	MTNR1A	P01303	P48039	Liana_v0.1.12
NPY	NPY2R	P01303	P49146	Liana_v0.1.12;Cpdb_v4.1
NPY	PRLHR	P01303	P49683	Liana_v0.1.12;Cpdb_v4.1
NPY	NPY4R	P01303	P50391	Liana_v0.1.12;Cpdb_v4.1
NPY	GRM7	P01303	Q14831	Liana_v0.1.12
NPY	NPY5R	P01303	Q15761	Liana_v0.1.12;Cpdb_v4.1
NPY	NPY6R	P01303	Q99463	Liana_v0.1.12
NPY	GPR83	P01303	Q9NYM4	Liana_v0.1.12
NPY	NPFFR2	P01303	Q9Y5X5	Liana_v0.1.12
INS	INSR	P01308	P06213	Liana_v0.1.12;Cpdb_v4.1
INS	IGF1R	P01308	P08069	Liana_v0.1.12
INS	LRP2	P01308	P98164	Liana_v0.1.12
INS	LILRB2	P01308	Q8N423	Liana_v0.1.12
INS	LILRB1	P01308	Q8NHL6	Liana_v0.1.12
IGF2	ITGAV_ITGB3	P01344	COMPLEX:P05106_P06756	Liana_v0.1.12
IGF2	ITGA6_ITGB4	P01344	COMPLEX:P16144_P23229	Liana_v0.1.12
IGF2	INSR	P01344	P06213	Liana_v0.1.12
IGF2	IGF1R	P01344	P08069	Liana_v0.1.12;Cpdb_v4.1
IGF2	IGF2R	P01344	P11717	Liana_v0.1.12;Cpdb_v4.1
IGF2	GPR152	P01344	Q8TDT2	Liana_v0.1.12
GAST	CCKBR	P01350	P32239	Liana_v0.1.12;Cpdb_v4.1
GAST	KIR2DL3	P01350	P43628	Liana_v0.1.12
GAST	GPR152	P01350	Q8TDT2	Liana_v0.1.12
LTA	TNFRSF1A	P01374	P19438	Liana_v0.1.12;Cpdb_v4.1
LTA	TNFRSF1B	P01374	P20333	Liana_v0.1.12;Cpdb_v4.1
LTA	TNFRSF14	P01374	Q92956	Liana_v0.1.12;Cpdb_v4.1
IFNA1	IFNAR1_IFNAR2	P01562	COMPLEX:P17181_P48551	Liana_v0.1.12
IFNA1	CR2	P01562	P20023	Liana_v0.1.12
IFNA2	IFNAR1_IFNAR2	P01563	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA10	IFNAR1_IFNAR2	P01566	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA7	IFNAR1_IFNAR2	P01567	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA21	IFNAR1_IFNAR2	P01568	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA5	IFNAR1_IFNAR2	P01569	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA14	IFNAR1_IFNAR2	P01570	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA17	IFNAR1_IFNAR2	P01571	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNB1	IFNAR1_IFNAR2	P01574	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNG	IFNGR1_IFNGR2	P01579	COMPLEX:P15260_P38484	Liana_v0.1.12;Cpdb_v4.1
IL1A	IL1R1_IL1RAP	P01583	COMPLEX:P14778_Q9NPH3	Liana_v0.1.12;Cpdb_v4.1
IL1A	IL1R2_IL1RAP	P01583	COMPLEX:P27930_Q9NPH3	Liana_v0.1.12;Cpdb_v4.1
IL1B	IL1R1_IL1RAP	P01584	COMPLEX:P14778_Q9NPH3	Liana_v0.1.12;Cpdb_v4.1
IL1B	IL1R2_IL1RAP	P01584	COMPLEX:P27930_Q9NPH3	Liana_v0.1.12;Cpdb_v4.1
IL1B	ADRB2	P01584	P07550	Liana_v0.1.12
IL1B	SIGIRR	P01584	Q6IA17	Liana_v0.1.12
EPO	EPOR	P01588	P19235	Liana_v0.1.12;Cpdb_v4.1
EPO	EPHB4	P01588	P54760	Liana_v0.1.12
APOA1	LDLR	P02647	P01130	Liana_v0.1.12
APOA1	LRP2	P02647	P98164	Liana_v0.1.12
APOA1	LRP1	P02647	Q07954	Liana_v0.1.12
APOE	LRP4	P02649	O75096	Liana_v0.1.12
APOE	LRP5	P02649	O75197	Liana_v0.1.12
APOE	LRP6	P02649	O75581	Liana_v0.1.12
APOE	LDLR	P02649	P01130	Liana_v0.1.12
APOE	SDC2	P02649	P34741	Liana_v0.1.12
APOE	VLDLR	P02649	P98155	Liana_v0.1.12
APOE	LRP2	P02649	P98164	Liana_v0.1.12
APOE	LRP1	P02649	Q07954	Liana_v0.1.12
APOE	LRP8	P02649	Q14114	Liana_v0.1.12
APOE	LSR	P02649	Q86X29	Liana_v0.1.12
APOE	SCARB1	P02649	Q8WTV0	Liana_v0.1.12
APOE	TREM2	P02649	Q9NZC2	Liana_v0.1.12
APOA2	LDLR	P02652	P01130	Liana_v0.1.12
APOA2	LRP2	P02652	P98164	Liana_v0.1.12
APOA2	LRP1	P02652	Q07954	Liana_v0.1.12
APOC2	LDLR	P02655	P01130	Liana_v0.1.12
APOC2	LRP2	P02655	P98164	Liana_v0.1.12
APOC2	LRP1	P02655	Q07954	Liana_v0.1.12
APOC3	TLR2	P02656	O60603	Liana_v0.1.12
APOC3	LDLR	P02656	P01130	Liana_v0.1.12
APOC3	SDC2	P02656	P34741	Liana_v0.1.12
APOC3	LRP2	P02656	P98164	Liana_v0.1.12
APOC3	LRP1	P02656	Q07954	Liana_v0.1.12
ORM1	CCR5	P02763	P51681	Liana_v0.1.12
TTR	NGFR	P02766	P08138	Liana_v0.1.12
GC	LRP2	P02774	P98164	Liana_v0.1.12
PPBP	ADRA2A	P02775	P08913	Liana_v0.1.12
PPBP	CXCR1	P02775	P25024	Liana_v0.1.12;Cpdb_v4.1
PPBP	CXCR2	P02775	P25025	Liana_v0.1.12;Cpdb_v4.1
PPBP	MTNR1A	P02775	P48039	Liana_v0.1.12
PPBP	GRM7	P02775	Q14831	Liana_v0.1.12
PPBP	ACKR1	P02775	Q16570	Liana_v0.1.12
PF4	LDLR	P02776	P01130	Liana_v0.1.12
PF4	THBD	P02776	P07204	Liana_v0.1.12
PF4	ADRA2A	P02776	P08913	Liana_v0.1.12
PF4	FGFR2	P02776	P21802	Liana_v0.1.12
PF4	SDC2	P02776	P34741	Liana_v0.1.12
PF4	MTNR1A	P02776	P48039	Liana_v0.1.12
PF4	CXCR3	P02776	P49682	Liana_v0.1.12;Cpdb_v4.1
PF4	LRP1	P02776	Q07954	Liana_v0.1.12
PF4	GRM7	P02776	Q14831	Liana_v0.1.12
PF4	ACKR1	P02776	Q16570	Liana_v0.1.12
PF4	PROCR	P02776	Q9UNN8	Liana_v0.1.12
CXCL10	ADRA2A	P02778	P08913	Liana_v0.1.12
CXCL10	MTNR1A	P02778	P48039	Liana_v0.1.12
CXCL10	CXCR3	P02778	P49682	Liana_v0.1.12;Cpdb_v4.1
CXCL10	CCR3	P02778	P51677	Liana_v0.1.12
CXCL10	GRM7	P02778	Q14831	Liana_v0.1.12
CXCL10	ACKR1	P02778	Q16570	Liana_v0.1.12
TF	LDLR	P02787	P01130	Liana_v0.1.12
TF	TFRC	P02787	P02786	Liana_v0.1.12;Cpdb_v4.1
TF	ADRB2	P02787	P07550	Liana_v0.1.12
TF	LRP2	P02787	P98164	Liana_v0.1.12
TF	TFR2	P02787	Q9UP52	Liana_v0.1.12;Cpdb_v4.1
HPX	LRP1	P02790	Q07954	Liana_v0.1.12
ANG	PLXNB2	P03950	O15031	Liana_v0.1.12
ANG	EGFR	P03950	P00533	Liana_v0.1.12
AMH	AMHR2_BMPR1B	P03971	COMPLEX:O00238_Q16671	Liana_v0.1.12;Cpdb_v4.1
AMH	AMHR2_BMPR1A	P03971	COMPLEX:P36894_Q16671	Liana_v0.1.12;Cpdb_v4.1
AMH	ACVR1_AMHR2	P03971	COMPLEX:Q04771_Q16671	Liana_v0.1.12;Cpdb_v4.1
AMH	EGFR	P03971	P00533	Liana_v0.1.12
PDGFA	PDGFRB	P04085	P09619	Liana_v0.1.12
PDGFA	PDGFRA	P04085	P16234	Liana_v0.1.12;Cpdb_v4.1
RLN2	RAMP2	P04090	O60895	Liana_v0.1.12
RLN2	RAMP3	P04090	O60896	Liana_v0.1.12
RLN2	ADRB2	P04090	P07550	Liana_v0.1.12
RLN2	ADRB3	P04090	P13945	Liana_v0.1.12
RLN2	TSHR	P04090	P16473	Liana_v0.1.12
RLN2	VIPR1	P04090	P32241	Liana_v0.1.12
RLN2	ADCYAP1R1	P04090	P41586	Liana_v0.1.12
RLN2	PTH1R	P04090	Q03431	Liana_v0.1.12
RLN2	RXFP2	P04090	Q8WXD0	Liana_v0.1.12;Cpdb_v4.1
RLN2	GPR20	P04090	Q99678	Liana_v0.1.12
RLN2	RXFP1	P04090	Q9HBX9	Liana_v0.1.12;Cpdb_v4.1
RLN2	GPR84	P04090	Q9NQS5	Liana_v0.1.12
RLN2	RXFP3	P04090	Q9NSD7	Liana_v0.1.12;Cpdb_v4.1
APOB	TLR4	P04114	O00206	Liana_v0.1.12
APOB	LRP6	P04114	O75581	Liana_v0.1.12
APOB	LDLR	P04114	P01130	Liana_v0.1.12
APOB	ITGB2	P04114	P05107	Liana_v0.1.12
APOB	ADRB2	P04114	P07550	Liana_v0.1.12
APOB	ITGAM	P04114	P11215	Liana_v0.1.12
APOB	OLR1	P04114	P78380	Liana_v0.1.12
APOB	VLDLR	P04114	P98155	Liana_v0.1.12
APOB	LRP2	P04114	P98164	Liana_v0.1.12
APOB	LRP1	P04114	Q07954	Liana_v0.1.12
APOB	LRP8	P04114	Q14114	Liana_v0.1.12
APOB	LSR	P04114	Q86X29	Liana_v0.1.12
APOB	TLR6	P04114	Q9Y2C9	Liana_v0.1.12
CSF2	CSF2RA_CSF2RB	P04141	COMPLEX:P15509_P32927	Liana_v0.1.12;Cpdb_v4.1
CSF2	ITGB1	P04141	P05556	Liana_v0.1.12
CSF2	CSF1R	P04141	P07333	Liana_v0.1.12
CSF2	IL3RA	P04141	P26951	Liana_v0.1.12
CSF2	SDC2	P04141	P34741	Liana_v0.1.12
CSF2	ITGA9	P04141	Q13797	Liana_v0.1.12
CSF2	CSF3R	P04141	Q99062	Liana_v0.1.12
TFF1	FCRL4	P04155	Q96PJ5	Liana_v0.1.12
WNT1	FZD9_LRP5	P04628	COMPLEX:O00144_O75197	Liana_v0.1.12
WNT1	FZD9_LRP6	P04628	COMPLEX:O00144_O75581	Liana_v0.1.12
WNT1	FZD6_LRP5	P04628	COMPLEX:O60353_O75197	Liana_v0.1.12
WNT1	FZD6_LRP6	P04628	COMPLEX:O60353_O75581	Liana_v0.1.12
WNT1	FZD7_LRP5	P04628	COMPLEX:O75084_O75197	Liana_v0.1.12
WNT1	FZD7_LRP6	P04628	COMPLEX:O75084_O75581	Liana_v0.1.12
WNT1	FZD5_LRP5	P04628	COMPLEX:O75197_Q13467	Liana_v0.1.12
WNT1	FZD2_LRP5	P04628	COMPLEX:O75197_Q14332	Liana_v0.1.12
WNT1	FZD8_LRP5	P04628	COMPLEX:O75197_Q9H461	Liana_v0.1.12
WNT1	FZD3_LRP5	P04628	COMPLEX:O75197_Q9NPG1	Liana_v0.1.12
WNT1	FZD4_LRP5	P04628	COMPLEX:O75197_Q9ULV1	Liana_v0.1.12
WNT1	FZD10_LRP5	P04628	COMPLEX:O75197_Q9ULW2	Liana_v0.1.12
WNT1	FZD1_LRP5	P04628	COMPLEX:O75197_Q9UP38	Liana_v0.1.12
WNT1	FZD5_LRP6	P04628	COMPLEX:O75581_Q13467	Liana_v0.1.12
WNT1	FZD2_LRP6	P04628	COMPLEX:O75581_Q14332	Liana_v0.1.12
WNT1	FZD8_LRP6	P04628	COMPLEX:O75581_Q9H461	Liana_v0.1.12
WNT1	FZD3_LRP6	P04628	COMPLEX:O75581_Q9NPG1	Liana_v0.1.12
WNT1	FZD4_LRP6	P04628	COMPLEX:O75581_Q9ULV1	Liana_v0.1.12
WNT1	FZD10_LRP6	P04628	COMPLEX:O75581_Q9ULW2	Liana_v0.1.12
WNT1	FZD1_LRP6	P04628	COMPLEX:O75581_Q9UP38	Liana_v0.1.12
WNT1	CD36	P04628	P16671	Liana_v0.1.12
WNT1	RYK	P04628	P34925	Liana_v0.1.12
WNT1	ROR2	P04628	Q01974	Liana_v0.1.12
RLN1	RXFP4	P04808	Q8TDU9	Liana_v0.1.12
RLN1	RXFP2	P04808	Q8WXD0	Liana_v0.1.12;Cpdb_v4.1
RLN1	RXFP1	P04808	Q9HBX9	Liana_v0.1.12;Cpdb_v4.1
RLN1	RXFP3	P04808	Q9NSD7	Liana_v0.1.12;Cpdb_v4.1
IFNW1	IFNAR1_IFNAR2	P05000	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA6	IFNAR1_IFNAR2	P05013	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA4	IFNAR1_IFNAR2	P05014	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNA16	IFNAR1_IFNAR2	P05015	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IGF1	ITGAV_ITGB3	P05019	COMPLEX:P05106_P06756	Liana_v0.1.12
IGF1	ITGA6_ITGB4	P05019	COMPLEX:P16144_P23229	Liana_v0.1.12
IGF1	INSR	P05019	P06213	Liana_v0.1.12
IGF1	IGF1R	P05019	P08069	Liana_v0.1.12;Cpdb_v4.1
IGF1	IGF2R	P05019	P11717	Liana_v0.1.12
APOD	LEPR	P05090	P48357	Liana_v0.1.12
S100A8	TLR4	P05109	O00206	Liana_v0.1.12
S100A8	ITGB2	P05109	P05107	Liana_v0.1.12
S100A8	CD36	P05109	P16671	Liana_v0.1.12
S100A8	CD68	P05109	P34810	Liana_v0.1.12
S100A8	AGER	P05109	Q15109	Liana_v0.1.12
INHA	TGFBR3	P05111	Q03167	Liana_v0.1.12
INHA	ACVR1	P05111	Q04771	Liana_v0.1.12
IL4	IL2RG_IL4R	P05112	COMPLEX:P24394_P31785	Liana_v0.1.12;Cpdb_v4.1
IL4	IL13_IL13RA1_IL4R	P05112	COMPLEX:P24394_P35225_P78552	Liana_v0.1.12
IL4	IL13RA1_IL4R	P05112	COMPLEX:P24394_P78552	Liana_v0.1.12;Cpdb_v4.1
IL4	IL13RA2_IL4R	P05112	COMPLEX:P24394_Q14627	Liana_v0.1.12
IL4	CD53	P05112	P19397	Liana_v0.1.12
IL5	CSF2RB_IL5RA	P05113	COMPLEX:P32927_Q01344	Liana_v0.1.12;Cpdb_v4.1
FGF1	NRP1	P05230	O14786	Liana_v0.1.12
FGF1	EGFR	P05230	P00533	Liana_v0.1.12
FGF1	FGFR1	P05230	P11362	Liana_v0.1.12;Cpdb_v4.1
FGF1	CD44	P05230	P16070	Liana_v0.1.12
FGF1	FGFR2	P05230	P21802	Liana_v0.1.12;Cpdb_v4.1
FGF1	FGFR4	P05230	P22455	Liana_v0.1.12;Cpdb_v4.1
FGF1	FGFR3	P05230	P22607	Liana_v0.1.12;Cpdb_v4.1
FGF1	TGFBR3	P05230	Q03167	Liana_v0.1.12
FGF1	CSPG4	P05230	Q6UVK1	Liana_v0.1.12
FGF1	FGFRL1	P05230	Q8N441	Liana_v0.1.12
IL6	IL6R_IL6ST	P05231	COMPLEX:P08887_P40189	Liana_v0.1.12;Cpdb_v4.1
IL6	F3	P05231	P13726	Liana_v0.1.12
IL6	HRH1	P05231	P35367	Liana_v0.1.12
EDN1	EDNRB	P05305	P24530	Liana_v0.1.12;Cpdb_v4.1
EDN1	EDNRA	P05305	P25101	Liana_v0.1.12;Cpdb_v4.1
EDN1	ADGRL4	P05305	Q9HBW9	Liana_v0.1.12
HLA-DQB2	LAG3	P05538	P18627	Liana_v0.1.12
CCK	CCKAR	P06307	P32238	Liana_v0.1.12;Cpdb_v4.1
CCK	CCKBR	P06307	P32239	Liana_v0.1.12;Cpdb_v4.1
S100A9	TLR4	P06702	O00206	Liana_v0.1.12
S100A9	ITGB2	P06702	P05107	Liana_v0.1.12
S100A9	CD36	P06702	P16671	Liana_v0.1.12
S100A9	CD68	P06702	P34810	Liana_v0.1.12
S100A9	AGER	P06702	Q15109	Liana_v0.1.12
APOA4	LDLR	P06727	P01130	Liana_v0.1.12
APOA4	LRP2	P06727	P98164	Liana_v0.1.12
APOA4	LRP1	P06727	Q07954	Liana_v0.1.12
GPI	NTRK1	P06744	P04629	Liana_v0.1.12
CRH	RAMP2	P06850	O60895	Liana_v0.1.12
CRH	RAMP3	P06850	O60896	Liana_v0.1.12
CRH	ADRB2	P06850	P07550	Liana_v0.1.12
CRH	ADRB3	P06850	P13945	Liana_v0.1.12
CRH	TSHR	P06850	P16473	Liana_v0.1.12
CRH	VIPR1	P06850	P32241	Liana_v0.1.12
CRH	CRHR1	P06850	P34998	Liana_v0.1.12;Cpdb_v4.1
CRH	ADCYAP1R1	P06850	P41586	Liana_v0.1.12
CRH	MC2R	P06850	Q01718	Liana_v0.1.12
CRH	PTH1R	P06850	Q03431	Liana_v0.1.12
CRH	CRHR2	P06850	Q13324	Liana_v0.1.12;Cpdb_v4.1
CRH	GPR20	P06850	Q99678	Liana_v0.1.12
CRH	GPR84	P06850	Q9NQS5	Liana_v0.1.12
CALCA	CALCRL_RAMP1	CONFLICTING	CONFLICTING	Liana_v0.1.12;Cpdb_v4.1
CALCA	CALCRL_RAMP2	P06881	COMPLEX:O60895_Q16602	Liana_v0.1.12
CALCA	CALCRL_RAMP3	P06881	COMPLEX:O60896_Q16602	Liana_v0.1.12
PRSS1	F2RL2	P07477	O00254	Liana_v0.1.12
PRSS1	F2R	P07477	P25116	Liana_v0.1.12
PRSS1	F2RL1	P07477	P55085	Liana_v0.1.12
PRSS1	PARD3	P07477	Q8TEW0	Liana_v0.1.12
PRSS1	F2RL3	P07477	Q96RI0	Liana_v0.1.12
PRSS2	F2RL2	P07478	O00254	Liana_v0.1.12
PRSS2	F2R	P07478	P25116	Liana_v0.1.12
PRSS2	F2RL1	P07478	P55085	Liana_v0.1.12
PRSS2	PARD3	P07478	Q8TEW0	Liana_v0.1.12
PRSS2	F2RL3	P07478	Q96RI0	Liana_v0.1.12
GRP	NMBR	P07492	P28336	Liana_v0.1.12;Cpdb_v4.1
GRP	GRPR	P07492	P30550	Liana_v0.1.12;Cpdb_v4.1
GRP	BRS3	P07492	P32247	Liana_v0.1.12
DCN	TLR4	P07585	O00206	Liana_v0.1.12
DCN	TLR2	P07585	O60603	Liana_v0.1.12
DCN	EGFR	P07585	P00533	Liana_v0.1.12
DCN	MET	P07585	P08581	Liana_v0.1.12
DCN	ERBB4	P07585	Q15303	Liana_v0.1.12
INHBA	TGFBR3	P08476	Q03167	Liana_v0.1.12
INHBA	BAMBI	P08476	Q13145	Liana_v0.1.12
LPA	ITGB2	P08519	P05107	Liana_v0.1.12
LPA	ITGAM	P08519	P11215	Liana_v0.1.12
LPA	LRP2	P08519	P98164	Liana_v0.1.12
LPA	LPAR4	P08519	Q99677	Liana_v0.1.12
LPA	LPAR2	P08519	Q9HBW0	Liana_v0.1.12
LPA	LPAR3	P08519	Q9UBY5	Liana_v0.1.12
FGF4	NRP1	P08620	O14786	Liana_v0.1.12
FGF4	FGFR1	P08620	P11362	Liana_v0.1.12;Cpdb_v4.1
FGF4	FGFR2	P08620	P21802	Liana_v0.1.12
FGF4	FGFR4	P08620	P22455	Liana_v0.1.12
FGF4	FGFR3	P08620	P22607	Liana_v0.1.12
FGF4	FGFRL1	P08620	Q8N441	Liana_v0.1.12
IL3	CSF2RB_IL3RA	P08700	COMPLEX:P26951_P32927	Liana_v0.1.12;Cpdb_v4.1
NMB	NMBR	P08949	P28336	Liana_v0.1.12;Cpdb_v4.1
NMB	GRPR	P08949	P30550	Liana_v0.1.12;Cpdb_v4.1
NMB	BRS3	P08949	P32247	Liana_v0.1.12
FGF2	NRP1	P09038	O14786	Liana_v0.1.12
FGF2	SDC3	P09038	O75056	Liana_v0.1.12
FGF2	GPC4	P09038	O75487	Liana_v0.1.12
FGF2	FGFR1	P09038	P11362	Liana_v0.1.12;Cpdb_v4.1
FGF2	CD44	P09038	P16070	Liana_v0.1.12
FGF2	SDC1	P09038	P18827	Liana_v0.1.12
FGF2	FGFR2	P09038	P21802	Liana_v0.1.12;Cpdb_v4.1
FGF2	FGFR4	P09038	P22455	Liana_v0.1.12;Cpdb_v4.1
FGF2	FGFR3	P09038	P22607	Liana_v0.1.12;Cpdb_v4.1
FGF2	SDC2	P09038	P34741	Liana_v0.1.12
FGF2	FGFRL1	P09038	Q8N441	Liana_v0.1.12
CXCL1	ADRA2A	P09341	P08913	Liana_v0.1.12
CXCL1	CXCR1	P09341	P25024	Liana_v0.1.12;Cpdb_v4.1
CXCL1	CXCR2	P09341	P25025	Liana_v0.1.12;Cpdb_v4.1
CXCL1	MTNR1A	P09341	P48039	Liana_v0.1.12
CXCL1	GRM7	P09341	Q14831	Liana_v0.1.12
CXCL1	ACKR1	P09341	Q16570	Liana_v0.1.12;Cpdb_v4.1
LGALS1	ITGB1	P09382	P05556	Liana_v0.1.12
LGALS1	PTPRC	P09382	P08575	Liana_v0.1.12
WNT2	FZD9_LRP5	P09544	COMPLEX:O00144_O75197	Liana_v0.1.12
WNT2	FZD9_LRP6	P09544	COMPLEX:O00144_O75581	Liana_v0.1.12
WNT2	FZD6_LRP5	P09544	COMPLEX:O60353_O75197	Liana_v0.1.12
WNT2	FZD6_LRP6	P09544	COMPLEX:O60353_O75581	Liana_v0.1.12
WNT2	FZD7_LRP5	P09544	COMPLEX:O75084_O75197	Liana_v0.1.12
WNT2	FZD7_LRP6	P09544	COMPLEX:O75084_O75581	Liana_v0.1.12
WNT2	FZD5_LRP5	P09544	COMPLEX:O75197_Q13467	Liana_v0.1.12
WNT2	FZD2_LRP5	P09544	COMPLEX:O75197_Q14332	Liana_v0.1.12
WNT2	FZD8_LRP5	P09544	COMPLEX:O75197_Q9H461	Liana_v0.1.12
WNT2	FZD3_LRP5	P09544	COMPLEX:O75197_Q9NPG1	Liana_v0.1.12
WNT2	FZD4_LRP5	P09544	COMPLEX:O75197_Q9ULV1	Liana_v0.1.12
WNT2	FZD10_LRP5	P09544	COMPLEX:O75197_Q9ULW2	Liana_v0.1.12
WNT2	FZD1_LRP5	P09544	COMPLEX:O75197_Q9UP38	Liana_v0.1.12
WNT2	FZD5_LRP6	P09544	COMPLEX:O75581_Q13467	Liana_v0.1.12
WNT2	FZD2_LRP6	P09544	COMPLEX:O75581_Q14332	Liana_v0.1.12
WNT2	FZD8_LRP6	P09544	COMPLEX:O75581_Q9H461	Liana_v0.1.12
WNT2	FZD3_LRP6	P09544	COMPLEX:O75581_Q9NPG1	Liana_v0.1.12
WNT2	FZD4_LRP6	P09544	COMPLEX:O75581_Q9ULV1	Liana_v0.1.12
WNT2	FZD10_LRP6	P09544	COMPLEX:O75581_Q9ULW2	Liana_v0.1.12
WNT2	FZD1_LRP6	P09544	COMPLEX:O75581_Q9UP38	Liana_v0.1.12
GIP	RAMP2	P09681	O60895	Liana_v0.1.12
GIP	RAMP3	P09681	O60896	Liana_v0.1.12
GIP	INSR	P09681	P06213	Liana_v0.1.12
GIP	ADRB2	P09681	P07550	Liana_v0.1.12
GIP	ADRB3	P09681	P13945	Liana_v0.1.12
GIP	TSHR	P09681	P16473	Liana_v0.1.12
GIP	VIPR1	P09681	P32241	Liana_v0.1.12
GIP	ADCYAP1R1	P09681	P41586	Liana_v0.1.12
GIP	GIPR	P09681	P48546	Liana_v0.1.12;Cpdb_v4.1
GIP	PTH1R	P09681	Q03431	Liana_v0.1.12
GIP	GPR20	P09681	Q99678	Liana_v0.1.12
GIP	GPR84	P09681	Q9NQS5	Liana_v0.1.12
SCT	RAMP2	P09683	O60895	Liana_v0.1.12
SCT	RAMP3	P09683	O60896	Liana_v0.1.12
SCT	ADRB2	P09683	P07550	Liana_v0.1.12
SCT	ADRB3	P09683	P13945	Liana_v0.1.12
SCT	TSHR	P09683	P16473	Liana_v0.1.12
SCT	VIPR1	P09683	P32241	Liana_v0.1.12;Cpdb_v4.1
SCT	ADCYAP1R1	P09683	P41586	Liana_v0.1.12
SCT	VIPR2	P09683	P41587	Liana_v0.1.12;Cpdb_v4.1
SCT	SCTR	P09683	P47872	Liana_v0.1.12;Cpdb_v4.1
SCT	PTH1R	P09683	Q03431	Liana_v0.1.12
SCT	GPR20	P09683	Q99678	Liana_v0.1.12
SCT	GPR84	P09683	Q9NQS5	Liana_v0.1.12
CSF3	CSF1R	P09919	P07333	Liana_v0.1.12
CSF3	CSF3R	P09919	Q99062	Liana_v0.1.12;Cpdb_v4.1
C4B	CD46	P0C0L5	P15529	Liana_v0.1.12
C4B	CR1	P0C0L5	P17927	Liana_v0.1.12
NPS	RAMP2	P0C0P6	O60895	Liana_v0.1.12
NPS	RAMP3	P0C0P6	O60896	Liana_v0.1.12
NPS	ADRB2	P0C0P6	P07550	Liana_v0.1.12
NPS	ADRB3	P0C0P6	P13945	Liana_v0.1.12
NPS	TSHR	P0C0P6	P16473	Liana_v0.1.12
NPS	VIPR1	P0C0P6	P32241	Liana_v0.1.12
NPS	ADCYAP1R1	P0C0P6	P41586	Liana_v0.1.12
NPS	PTH1R	P0C0P6	Q03431	Liana_v0.1.12
NPS	NPSR1	P0C0P6	Q6W5P4	Liana_v0.1.12;Cpdb_v4.1
NPS	GPR20	P0C0P6	Q99678	Liana_v0.1.12
NPS	GPR84	P0C0P6	Q9NQS5	Liana_v0.1.12
SAA1	TLR2	P0DJI8	O60603	Liana_v0.1.12
SAA1	ADRA2A	P0DJI8	P08913	Liana_v0.1.12
SAA1	CD36	P0DJI8	P16671	Liana_v0.1.12
SAA1	FPR1	P0DJI8	P21462	Liana_v0.1.12
SAA1	FPR2	P0DJI8	P25090	Liana_v0.1.12;Cpdb_v4.1
SAA1	MTNR1A	P0DJI8	P48039	Liana_v0.1.12
SAA1	GRM7	P0DJI8	Q14831	Liana_v0.1.12
SAA1	SCARB1	P0DJI8	Q8WTV0	Liana_v0.1.12
APELA	APLNR	P0DMC3	P35414	Liana_v0.1.12;Cpdb_v4.1
CSH1	PRLR	P0DML2	P16471	Liana_v0.1.12
