"source" "target" "source_genesymbol" "target_genesymbol" "category_intercell_source" "database_intercell_source" "category_intercell_target" "database_intercell_target" "sources" "references"
"1383" "O95025" "COMPLEX:O14786_Q9UIW2" "SEMA3D" "NRP1_PLXNA1" "ligand" "connectomeDB2020;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB" "CellChatDB:27533782"
"1384" "O95025" "COMPLEX:O60462_O75051" "SEMA3D" "NRP2_PLXNA2" "ligand" "connectomeDB2020;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;Cellinker" "CellChatDB:27533782;Cellinker:27533782"
"1385" "O95025" "COMPLEX:O60462_P51805" "SEMA3D" "NRP2_PLXNA3" "ligand" "connectomeDB2020;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;Cellinker" "CellChatDB:27533782;Cellinker:27533782"
"1386" "O95025" "COMPLEX:O60462_Q9HCM2" "SEMA3D" "NRP2_PLXNA4" "ligand" "connectomeDB2020;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;Cellinker" "CellChatDB:27533782;Cellinker:19887479;Cellinker:27533782"
"1387" "O95025" "COMPLEX:O60462_Q9UIW2" "SEMA3D" "NRP2_PLXNA1" "ligand" "connectomeDB2020;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;Cellinker" "CellChatDB:27533782;Cellinker:27533782"
"1388" "O95025" "Q9Y4D7" "SEMA3D" "PLXND1" "ligand" "connectomeDB2020;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellTalkDB" "CellTalkDB:31163177"
"1389" "O95156" "P58400" "NXPH2" "NRXN1" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr" "Baccin2019:8699246;CellTalkDB:8699246;Cellinker:8699246;HPRD:8699246;LRdb:8699246;connectomeDB2020:8699246"
"1390" "O95157" "P58400" "NXPH3" "NRXN1" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:98569949856994;Cellinker:9856994;HPRD:9856994;LRdb:9856994;connectomeDB2020:9856994"
"1391" "O95157" "Q9HDB5" "NXPH3" "NRXN3" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:9856994;Cellinker:9856994;LRdb:9856994;connectomeDB2020:9856994"
"1392" "O95157" "Q9P2S2" "NXPH3" "NRXN2" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:9856994;Cellinker:9856994;LRdb:9856994;connectomeDB2020:9856994"
"1393" "O95388" "P05556" "CCN4" "ITGB1" "ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "connectomeDB2020" "connectomeDB2020:29330021"
"1394" "O95388" "P08648" "CCN4" "ITGA5" "ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "connectomeDB2020" "connectomeDB2020:29330021"
"1395" "O95390" "COMPLEX:P27037_P36896" "GDF11" "ACVR1B_ACVR2A" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellPhoneDB;ICELLNET" "CellPhoneDB:22710174;ICELLNET:22710174;ICELLNET:27481709"
"1396" "O95390" "COMPLEX:P27037_P36897" "GDF11" "ACVR2A_TGFBR1" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;HPMR_Cellinker;ICELLNET" "CellPhoneDB:22710174;Cellinker:12414726;ICELLNET:12414726;ICELLNET:16845371"
"1397" "O95390" "COMPLEX:P36896_Q13705" "GDF11" "ACVR1B_ACVR2B" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;HPMR_Cellinker;ICELLNET" "CellPhoneDB:22710174;Cellinker:16845371;ICELLNET:22710174;ICELLNET:27481709"
"1398" "O95390" "COMPLEX:P36897_Q13705" "GDF11" "ACVR2B_TGFBR1" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;ICELLNET" "CellPhoneDB:22710174;Cellinker:16845371;ICELLNET:12414726;ICELLNET:16845371"
"1399" "O95390" "O00238" "GDF11" "BMPR1B" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "CellTalkDB;LRdb;UniProt_LRdb" "CellTalkDB:32196115"
"1400" "O95390" "P36894" "GDF11" "BMPR1A" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "CellTalkDB;LRdb;UniProt_LRdb" "CellTalkDB:32196115"
"1401" "O95390" "Q13873" "GDF11" "BMPR2" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "CellTalkDB;LRdb;UniProt_LRdb" "CellTalkDB:32196115"
"1402" "O95390" "Q9H6X2" "GDF11" "ANTXR1" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "CellPhoneDB;CellTalkDB" "CellPhoneDB;InnateDB-All_CellPhoneDB" ""
"1403" "O95393" "COMPLEX:P27037_P37023" "BMP10" "ACVR2A_ACVRL1" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;Cellinker;HPMR_Cellinker;ICELLNET" "CellChatDB:25620979;CellChatDB:26893264;Cellinker:16049014;Cellinker:17068149;Cellinker:26893264;Cellinker:27252362;Cellinker:30246252;ICELLNET:17878607"
"1404" "O95393" "COMPLEX:P37023_Q13705" "BMP10" "ACVR2B_ACVRL1" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "ICELLNET" "ICELLNET:17878607"
"1405" "O95393" "COMPLEX:P37023_Q13873" "BMP10" "ACVRL1_BMPR2" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET" "CellChatDB:25620979;CellChatDB:26893264;CellPhoneDB:22710174;Cellinker:16049014;Cellinker:26893264;Cellinker:27252362;ICELLNET:17878607"
"1406" "O95393" "O00238" "BMP10" "BMPR1B" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Guide2Pharma;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr" "CellTalkDB:15621726;Cellinker:31127068;LRdb:16049014;Ramilowski2015:16049014;connectomeDB2020:16049014;talklr:16049014"
"1407" "O95393" "O15552" "BMP10" "FFAR2" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "CellPhoneDB;CellTalkDB" "CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB" ""
"1408" "O95393" "P36894" "BMP10" "BMPR1A" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:16049014;Cellinker:16049014;LRdb:16049014;SIGNOR:16049014;connectomeDB2020:16049014"
"1409" "O95393" "P43628" "BMP10" "KIR2DL3" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB" ""
"1410" "O95393" "P43629" "BMP10" "KIR3DL1" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB" ""
"1411" "O95393" "Q14943" "BMP10" "KIR3DS1" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "CellPhoneDB;CellChatDB" "CellPhoneDB;IMEx_CellPhoneDB;IntAct_CellPhoneDB" ""
"1412" "O95393" "Q8TDT2" "BMP10" "GPR152" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "CellPhoneDB" "CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB" ""
"1413" "O95393" "Q9H7M9" "BMP10" "VSIR" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;CellTalkDB" "CellPhoneDB;HuRI;IMEx_CellPhoneDB;IntAct_CellPhoneDB" ""
"1414" "O95399" "Q9UKP6" "UTS2" "UTS2R" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr" "Baccin2019:10499587;Baccin2019:10581185;Baccin2019:11976263;Baccin2019:12238917;Baccin2019:15109617;Baccin2019:15852036;Cellinker:10499587;Cellinker:10581185;Cellinker:11976263;Cellinker:12238917;Cellinker:15109617;Cellinker:15852036;Guide2Pharma:10499587;Guide2Pharma:10548501;Guide2Pharma:10559967;Guide2Pharma:10581185;HPMR:15109617;HPRD:10581185;LRdb:10499587;LRdb:10581185;LRdb:11976263;LRdb:12238917;LRdb:15109617;LRdb:15852036;connectomeDB2020:10499587;connectomeDB2020:10581185;connectomeDB2020:11976263;connectomeDB2020:12238917;connectomeDB2020:15109617;connectomeDB2020:15852036;scConnect:11976263;scConnect:12238917;scConnect:15852036"
"1415" "O95631" "O95185" "NTN1" "UNC5C" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:10399920;Baccin2019:12810718;CellTalkDB:12810718;Cellinker:10399920;Cellinker:12810718;HPMR:12810718;HPRD:12810718;LRdb:1;LRdb:12810718;SIGNOR:10399920;connectomeDB2020:10399920;connectomeDB2020:12810718"
"1416" "O95631" "P29275" "NTN1" "ADORA2B" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr" "Baccin2019:11048721;CellTalkDB:11048721;HPRD:11048721;LRdb:11048721;connectomeDB2020:11048721"
"1417" "O95631" "P43121" "NTN1" "MCAM" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellChatDB;CellTalkDB" "connectomeDB2020" "connectomeDB2020:25656845"
"1418" "O95631" "P43146" "NTN1" "DCC" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;BioGRID;CellTalkDB;Cellinker;DIP;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:10399920;Baccin2019:12810718;Baccin2019:8861902;Baccin2019:9950216;BioGRID:12810718;BioGRID:9950216;CellTalkDB:8861902;Cellinker:10399920;Cellinker:12810718;Cellinker:8861902;Cellinker:9950216;DIP:19721007;HPMR:11239160;HPMR:12810718;HPMR:8861902;HPRD:12810718;HPRD:9950216;IntAct:19721007;IntAct:26190107;LRdb:10399920;LRdb:12810718;LRdb:8861902;LRdb:9950216;connectomeDB2020:10399920;connectomeDB2020:12810718;connectomeDB2020:8861902;connectomeDB2020:9950216"
"1419" "O95631" "Q6UXZ4" "NTN1" "UNC5D" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr" "CellTalkDB:9126742;LRdb:9126742;Ramilowski2015:9126742;connectomeDB2020:9126742;talklr:9126742"
"1420" "O95631" "Q6ZN44" "NTN1" "UNC5A" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr" "CellTalkDB:9126742;Cellinker:28710382;LRdb:9126742;Ramilowski2015:9126742;connectomeDB2020:9126742;talklr:9126742"
"1421" "O95631" "Q8IZJ1" "NTN1" "UNC5B" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:23599441;CellTalkDB:9126742;Cellinker:26840727;LRdb:9126742;Ramilowski2015:9126742;connectomeDB2020:9126742;talklr:9126742"
"1422" "O95631" "Q92859" "NTN1" "NEO1" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr" "Baccin2019:12636918;Baccin2019:8861902;CellTalkDB:8861902;Cellinker:12636918;Cellinker:8861902;HPRD:12636918;HPRD:8861902;LRdb:126;LRdb:8861902;connectomeDB2020:12636918;connectomeDB2020:8861902"
"1423" "O95715" "P61073" "CXCL14" "CXCR4" "ligand" "connectomeDB2020;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellCall;CellTalkDB;Wang;connectomeDB2020" "CellTalkDB:32239134;connectomeDB2020:28360196"
"1424" "O95750" "P11362" "FGF19" "FGFR1" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;IMEx_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr" "CellTalkDB:16597617;Cellinker:22442730;LRdb:16597617;Ramilowski2015:16597617;connectomeDB2020:16597617;talklr:16597617"
"1425" "O95750" "P21802" "FGF19" "FGFR2" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellTalkDB;DLRP_talklr;EMBRACE;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr" "CellTalkDB:16597617;LRdb:16597617;Ramilowski2015:16597617;connectomeDB2020:16597617;talklr:16597617"
"1426" "O95750" "P22455" "FGF19" "FGFR4" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;IMEx_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:1473096710525310;CellTalkDB:16597617;Cellinker:10525310;Cellinker:14730967;Cellinker:22442730;Cellinker:31529503;DIP:10525310;DIP:19706524;Guide2Pharma:10525310;HPRD:10525310;LRdb:16597617;connectomeDB2020:10525310;connectomeDB2020:14730967"
"1427" "O95750" "P22607" "FGF19" "FGFR3" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellTalkDB;DLRP_talklr;EMBRACE;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr" "CellTalkDB:16597617;LRdb:16597617;Ramilowski2015:16597617;connectomeDB2020:16597617;talklr:16597617"
"1428" "O95750" "Q86Z14" "FGF19" "KLB" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr" "CellTalkDB:22442730;LRdb:22442730;Ramilowski2015:22442730;connectomeDB2020:22442730;talklr:22442730"
"1429" "O95760" "COMPLEX:Q01638_Q9NPH3" "IL33" "IL1RAP_IL1RL1" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;CellPhoneDB;Cellinker;ICELLNET" "Cellinker:18450470;ICELLNET:20959797;ICELLNET:24332029"
"1430" "O95813" "Q9UBG0" "CER1" "MRC2" "ligand" "CellPhoneDB;CellTalkDB" "receptor" "CellPhoneDB;CellTalkDB" "CellPhoneDB;CellTalkDB;InnateDB-All_CellPhoneDB" "CellTalkDB:32103204"
"1431" "O95841" "O75022" "ANGPTL1" "LILRB3" "ligand" "connectomeDB2020;CellChatDB;CellTalkDB" "receptor" "CellChatDB" "CellChatDB" "CellChatDB:24478758"
"1432" "O95841" "Q02763" "ANGPTL1" "TEK" "ligand" "connectomeDB2020;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;Kirouac2010;LRdb;Ramilowski2015;SIGNOR;SignaLink3;connectomeDB2020;iTALK;talklr" "CellTalkDB:10051567;Cellinker:10051567;HPRD:10051567;LRdb:10051567;SIGNOR:10051567;SIGNOR:15284220;SignaLink3:10051567;SignaLink3:15284220;SignaLink3:23331499;connectomeDB2020:10051567"
"1433" "O95897" "Q9HCK4" "OLFM2" "ROBO2" "ligand" "CellTalkDB" "receptor" "connectomeDB2020;ICELLNET;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;iTALK;talklr" "Baccin2019:16169070;Cellinker:16169070;HPRD:16169070;LRdb:16169070"
"1434" "O95970" "O75077" "LGI1" "ADAM23" "ligand" "connectomeDB2020" "receptor" "connectomeDB2020" "connectomeDB2020" "connectomeDB2020:18974846"
"1435" "O95970" "Q9BZR6" "LGI1" "RTN4R" "ligand" "connectomeDB2020" "receptor" "connectomeDB2020;CellTalkDB" "connectomeDB2020" "connectomeDB2020:20463223"
"1436" "O95972" "COMPLEX:O00238_Q13873" "BMP15" "BMPR1B_BMPR2" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET" "CellChatDB:26893264;CellPhoneDB:22710174;Cellinker:12419820;Cellinker:26003656;Cellinker:26893264;Cellinker:27252362;ICELLNET:17878607"
"1437" "O95972" "P27037" "BMP15" "ACVR2A" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr" "CellTalkDB:26198319;Cellinker:27252362;Ramilowski2015:2419820;connectomeDB2020:2419820;talklr:2419820"
"1438" "O95972" "P36894" "BMP15" "BMPR1A" "ligand" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB" "Baccin2019;CellTalkDB;DLRP_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;UniProt_LRdb;connectomeDB2020;iTALK;talklr" "LRdb:2419820;Ramilowski2015:2419820;connectomeDB2020:2419820;talklr:2419820"
"1439" "O96014" "O00144" "WNT11" "FZD9" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellCall;CellChatDB;Wang" ""
"1440" "O96014" "O15146" "WNT11" "MUSK" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellTalkDB" "CellTalkDB;SIGNOR" "CellTalkDB:22309736;SIGNOR:22309736;SIGNOR:23151663"
"1441" "O96014" "O60353" "WNT11" "FZD6" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellCall;CellChatDB;SIGNOR;Wang" "SIGNOR:16273260"
"1442" "O96014" "O75084" "WNT11" "FZD7" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "Baccin2019;CellCall;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr" "Baccin2019:10862746;CellTalkDB:10862746;Cellinker:10862746;LRdb:10862746;SIGNOR:10862746;connectomeDB2020:10862746"
"1443" "O96014" "Q13467" "WNT11" "FZD5" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellCall;CellChatDB;Wang" ""
"1444" "O96014" "Q14332" "WNT11" "FZD2" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellCall;CellChatDB;Wang" ""
"1445" "O96014" "Q9H461" "WNT11" "FZD8" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellCall;CellChatDB;Wang;connectomeDB2020" "connectomeDB2020:29717114"
"1446" "O96014" "Q9NPG1" "WNT11" "FZD3" "ligand" "connectomeDB2020;CellPhoneDB;CellChatDB;CellTalkDB" "receptor" "connectomeDB2020;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB" "CellCall;CellChatDB;SIGNOR;Wang" "SIGNOR:15578921;SIGNOR:16273260"
